"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.559892134E0,2.782999873E-1,3.780999780E-1,-6.419999599E-1
1.569892134E0,3.089999855E-1,4.686999917E-1,-7.802000046E-1
1.579892134E0,2.351000011E-1,4.889999926E-1,-9.271000028E-1
1.589892134E0,2.023999989E-1,4.885999858E-1,-9.948999882E-1
1.599892134E0,2.201000005E-1,4.781999886E-1,-1.013800025E0
1.609892134E0,2.393999994E-1,4.878999889E-1,-1.042999983E0
1.619893696E0,1.929000020E-1,5.482000113E-1,-1.054499984E0
1.629892134E0,1.272999942E-1,5.877999663E-1,-1.025799990E0
1.639892134E0,4.429999739E-2,5.595999956E-1,-1.057099938E0
1.649892134E0,-9.599999525E-3,5.112000108E-1,-1.028800011E0
1.659892134E0,-2.620000020E-2,5.011000037E-1,-9.211999774E-1
1.669892134E0,-2.499999851E-2,5.487999916E-1,-8.122999668E-1
1.679892134E0,-1.034999937E-1,5.661999583E-1,-7.024999857E-1
1.689892134E0,-2.116999924E-1,6.316999793E-1,-6.701999903E-1
1.699892134E0,-2.707000077E-1,6.869999766E-1,-6.474999785E-1
1.709892134E0,-2.712000012E-1,7.821999788E-1,-5.565999746E-1
1.719892134E0,-2.520999908E-1,8.780999780E-1,-4.466999769E-1
1.729892134E0,-2.324999869E-1,9.356999993E-1,-3.082999885E-1
1.739892134E0,-2.031999975E-1,1.013599992E0,-5.289999768E-2
1.749892134E0,-1.633999944E-1,1.130999923E0,2.513000071E-1
1.759892134E0,-1.308999956E-1,1.246999979E0,3.895999789E-1
1.769892134E0,-5.539999902E-2,1.301499963E0,3.140999973E-1
1.779890571E0,-5.639999732E-2,1.314399958E0,2.892999947E-1
1.789892134E0,-5.659999698E-2,1.316100001E0,2.658999860E-1
1.799892134E0,2.300000051E-3,1.307600021E0,3.308999836E-1
1.809890571E0,3.240000084E-2,1.250800014E0,5.130000114E-1
1.819892134E0,4.499999806E-2,1.106799960E0,6.448000073E-1
1.829892134E0,-1.759999990E-2,9.536999464E-1,7.167999744E-1
1.839892134E0,-1.272999942E-1,8.209999800E-1,8.269999623E-1
1.849892134E0,-2.450999916E-1,7.670999765E-1,8.387999535E-1
1.859892134E0,-2.447999865E-1,7.226999998E-1,7.723000050E-1
1.869892134E0,-2.063999921E-1,5.992999673E-1,6.672999859E-1
1.879892134E0,-1.606999934E-1,4.660999775E-1,6.705999970E-1
1.889892134E0,-1.864999980E-1,2.944000065E-1,7.813999653E-1
1.899892134E0,-2.237999886E-1,7.530000061E-2,9.498999715E-1
1.909892134E0,-2.518999875E-1,-1.613999903E-1,1.234200001E0
1.919892134E0,-3.075000048E-1,-3.664999902E-1,1.457599998E0
1.929892134E0,-3.973999918E-1,-5.214999914E-1,1.551999927E0
1.939892134E0,-5.009999871E-1,-5.981000066E-1,1.469399929E0
1.949892134E0,-5.992999673E-1,-6.471999884E-1,1.319299936E0
1.959892134E0,-7.044999599E-1,-7.189999819E-1,1.083699942E0
1.969892134E0,-7.827000022E-1,-7.876999974E-1,8.338999748E-1
1.979892134E0,-8.545999527E-1,-8.272999525E-1,5.270000100E-1
1.989892134E0,-9.228000045E-1,-8.951999545E-1,1.493999958E-1
1.999892134E0,-1.091699958E0,-1.006799936E0,-2.726999819E-1
2.009892134E0,-1.214499950E0,-1.090799928E0,-6.632999778E-1
2.019892134E0,-1.281000018E0,-1.162299991E0,-1.065799952E0
2.029892134E0,-1.337999940E0,-1.344399929E0,-1.347299933E0
2.039892134E0,-1.423799992E0,-1.495599985E0,-1.688099980E0
2.049892134E0,-1.389799953E0,-1.681100011E0,-1.758499980E0
2.059892134E0,-1.447899938E0,-1.858599901E0,-1.796499968E0
2.069892134E0,-1.439299941E0,-2.027999878E0,-1.350899935E0
2.079892134E0,-9.420999885E-1,-2.082200050E0,-1.135900021E0
2.089892134E0,-7.167999744E-1,-1.866799951E0,-7.759999633E-1
2.099892134E0,-6.931999922E-1,-1.729900002E0,-5.209999681E-1
2.109892134E0,-5.397999883E-1,-1.609499931E0,-8.349999785E-1
2.119892134E0,-2.343999892E-1,-1.472000003E0,-1.477699995E0
2.129892134E0,1.263999939E-1,-1.461099982E0,-2.561499834E0
2.139892134E0,3.692999780E-1,-1.277499914E0,-3.299399853E0
2.149892134E0,4.942999780E-1,-1.088599920E0,-2.897699833E0
2.159892134E0,6.543999910E-1,-1.982399940E0,-2.309200048E0
2.169892134E0,1.643700004E0,-4.182499886E0,3.008999825E-1
2.179892134E0,2.712499857E0,-2.530999899E0,2.065599918E0
2.189892134E0,1.195999980E0,-1.413499951E0,-1.616799951E0
2.199892134E0,2.344999909E-1,-4.385499954E0,-1.609099984E0
2.209892134E0,1.303799987E0,-3.806599855E0,-2.049999982E-1
2.219892134E0,9.993999600E-1,-2.127199888E0,-8.649999499E-1
2.229892134E0,-1.510999948E-1,-1.436599970E0,-2.449599981E0
2.239892134E0,-1.017400026E0,-1.263299942E0,-2.219599962E0
2.249892134E0,-1.836399913E0,-1.395299911E0,-1.496899962E0
2.259892134E0,-2.401399851E0,-1.441599965E0,-7.953999639E-1
2.269892134E0,-2.621299982E0,-1.394400001E0,-1.689999998E-1
2.279892134E0,-2.557299852E0,-1.167199969E0,3.076999784E-1
2.289892134E0,-2.560600042E0,-8.172000051E-1,7.152999640E-1
2.299892134E0,-2.975899935E0,-5.539999604E-1,1.045300007E0
2.309892134E0,-3.639099836E0,-6.437999606E-1,1.209699988E0
2.319892134E0,-3.724599838E0,-8.057000041E-1,1.659999967E0
2.329892134E0,-2.930199862E0,-1.468599916E0,2.711299896E0
2.339892134E0,-1.758299947E0,-1.811899900E0,3.801899910E0
2.349892134E0,-9.666999578E-1,-1.803999901E0,4.669099808E0
2.359892134E0,-3.795000017E-1,-1.557899952E0,4.593800068E0
2.369892134E0,-1.105999947E-1,-1.135599971E0,3.494699955E0
2.379892134E0,-1.196999997E-1,-5.744000077E-1,2.213399887E0
2.389892134E0,-2.971999943E-1,-1.184000000E-1,1.179399967E0
2.399892134E0,-3.867000043E-1,2.318999916E-1,2.893999815E-1
2.409892134E0,-2.834999859E-1,6.035000086E-1,-4.606999755E-1
2.419892134E0,-2.454999983E-1,9.052000046E-1,-1.251500010E0
2.429892134E0,-1.570999920E-1,1.008599997E0,-1.352199912E0
2.439892134E0,1.649999991E-2,9.896999598E-1,-1.177299976E0
2.449892134E0,1.996999979E-1,8.718000054E-1,-7.847999930E-1
2.459892134E0,8.630000055E-2,6.656000018E-1,-1.736999899E-1
2.469892134E0,9.359999746E-2,4.979999959E-1,7.829999924E-2
2.479892134E0,3.039999865E-2,4.255999923E-1,1.008999944E-1
2.489892134E0,-4.205999970E-1,3.384000063E-1,1.488000005E-1
2.499892134E0,-8.159999847E-1,2.728999853E-1,2.802000046E-1
2.509892134E0,-9.339999557E-1,2.547999918E-1,3.784999847E-1
2.519892134E0,-9.319999814E-1,4.365999997E-1,5.733999610E-1
2.529892134E0,-7.637000084E-1,7.560999990E-1,8.856999874E-1
2.539892134E0,-5.744999647E-1,1.015399933E0,9.835000038E-1
2.549892134E0,-2.824999988E-1,1.204299927E0,9.757999778E-1
2.559892134E0,7.329999655E-2,1.302799940E0,9.218999743E-1
2.569892134E0,3.466999829E-1,1.261899948E0,4.788999856E-1
2.579892134E0,4.176999927E-1,1.103699923E0,2.624999881E-1
2.589892134E0,2.410999984E-1,7.622999549E-1,4.065999985E-1
2.599892134E0,-1.621999890E-1,3.175999820E-1,8.029999733E-1
2.609892134E0,-5.160999894E-1,-6.319999695E-2,1.118299961E0
2.619892134E0,-6.791999936E-1,-3.510999978E-1,1.128499985E0
2.629892134E0,-7.016999722E-1,-6.536999941E-1,1.107800007E0
2.639892134E0,-6.414999962E-1,-8.237999678E-1,1.311399937E0
2.649892134E0,-5.088999867E-1,-8.312000036E-1,1.757399917E0
2.659892134E0,-3.111000061E-1,-7.261999846E-1,1.852499962E0
2.669892134E0,-3.949999809E-2,-6.205999851E-1,1.745299935E0
2.679892134E0,2.858999968E-1,-4.449999928E-1,1.611999989E0
2.689892134E0,7.448999882E-1,-3.253999949E-1,1.589399934E0
2.699892134E0,1.073599935E0,-3.479999900E-1,1.588400006E0
2.709892134E0,1.248099923E0,-4.341000021E-1,1.306900024E0
2.719892134E0,1.366999984E0,-4.247999787E-1,8.027999997E-1
2.729892134E0,1.536700010E0,-4.062999785E-1,3.685999811E-1
2.739892134E0,1.764400005E0,-4.256999791E-1,6.099999696E-2
2.749892134E0,1.892099977E0,-4.513999820E-1,-1.370000001E-2
2.759892134E0,1.918999910E0,-4.440999925E-1,1.632999927E-1
2.769892134E0,1.846199989E0,-4.441999793E-1,2.502000034E-1
2.779892134E0,1.723899961E0,-5.218999982E-1,-6.245999932E-1
2.789895259E0,1.663100004E0,-5.256000161E-1,-1.266299963E0
2.799892134E0,1.711599946E0,-5.286999941E-1,-7.604999542E-1
2.809892134E0,1.684299946E0,-5.526999831E-1,-3.315999806E-1
2.819893696E0,1.711399913E0,-5.719999671E-1,-5.499999970E-3
2.829892134E0,1.636699915E0,-5.701999664E-1,3.671999872E-1
2.839893696E0,1.648599982E0,-4.524999857E-1,3.678999841E-1
2.849892134E0,1.590699911E0,-3.876999915E-1,1.253999919E-1
2.859892134E0,1.460999966E0,-3.456999958E-1,-1.162999943E-1
2.869892134E0,1.383499980E0,-2.673999965E-1,-1.428999901E-1
2.879892134E0,1.229599953E0,-6.439999491E-2,-1.020999998E-1
2.889892134E0,1.275200009E0,8.689999580E-2,-4.150999784E-1
2.899892134E0,1.278399944E0,2.285999954E-1,-1.033200026E0
2.909892134E0,1.269799948E0,3.073000014E-1,-1.204199910E0
2.919892134E0,1.305799961E0,3.355000019E-1,-7.148999572E-1
2.929892134E0,1.299700022E0,3.793999851E-1,-1.807999909E-1
2.939903071E0,1.325799942E0,3.753999770E-1,-3.849999979E-2
2.949892134E0,1.306999922E0,3.102999926E-1,-2.049999870E-2
2.959892134E0,1.174600005E0,1.532000005E-1,-1.555999964E-1
2.969892134E0,8.614999652E-1,-5.549999699E-2,-3.555999994E-1
2.979893696E0,5.062000155E-1,-2.946999967E-1,-8.272999525E-1
2.989893696E0,3.915999830E-1,-4.239999950E-1,-1.190500021E0
2.999892134E0,3.568999767E-1,-5.202000141E-1,-1.192600012E0
3.009892134E0,2.719999850E-1,-5.544999838E-1,-1.216400027E0
3.019892134E0,1.565999985E-1,-6.123999953E-1,-1.439999938E0
3.029892134E0,-1.119999960E-2,-5.974000096E-1,-1.677899957E0
3.039895259E0,-5.699999630E-3,-4.878999889E-1,-1.773199916E0
3.049892134E0,8.429999650E-2,-3.669999838E-1,-1.664499998E0
3.059892134E0,1.019999981E-1,-2.653999925E-1,-1.723699927E0
3.069892134E0,9.800000116E-3,-1.542999893E-1,-1.881299973E0
3.079892134E0,4.120000079E-2,-3.299999982E-2,-1.873299956E0
3.089895259E0,1.861999929E-1,5.109999701E-2,-1.641999960E0
3.099892134E0,1.413999945E-1,2.565999925E-1,-1.305499911E0
3.109892134E0,4.449999705E-2,4.664999843E-1,-1.322299957E0
3.119892134E0,-9.939999878E-2,6.531999707E-1,-1.505599976E0
3.129892134E0,-1.928000003E-1,7.989999652E-1,-1.768199921E0
3.139899946E0,-1.300999969E-1,1.003899932E0,-1.945099950E0
3.149892134E0,-3.549999744E-2,1.238899946E0,-1.890699983E0
3.159892134E0,-1.799999969E-3,1.502599955E0,-1.821399927E0
3.169892134E0,1.889999956E-2,1.695500016E0,-1.794899940E0
3.179892134E0,9.189999849E-2,1.847199917E0,-1.508299947E0
3.189895259E0,8.799999952E-2,1.906899929E0,-5.612999797E-1
3.199892134E0,7.310000062E-2,1.790899992E0,6.656999588E-1
3.209892134E0,-1.858000010E-1,1.513799906E0,1.560599923E0
3.219892134E0,-3.685999811E-1,1.367299914E0,1.942299962E0
3.229892134E0,-5.879999995E-1,1.193499923E0,2.400199890E0
3.239901509E0,-9.583999515E-1,9.223999977E-1,2.481799841E0
3.249892134E0,-1.258700013E0,6.913999915E-1,1.864299893E0
3.259892134E0,-1.592199922E0,5.824999809E-1,6.941999793E-1
3.269892134E0,-1.959199905E0,7.276999950E-1,9.510000050E-2
3.279892134E0,-2.078299999E0,9.223999977E-1,3.355000019E-1
3.289898384E0,-1.914499998E0,1.095499992E0,3.466999829E-1
3.299892134E0,-1.640599966E0,1.414499998E0,-1.428999901E-1
3.309892134E0,-1.013000011E0,1.941100001E0,-2.226999998E-1
3.319892134E0,5.409999937E-2,2.599699974E0,1.084599972E0
3.329892134E0,9.896000028E-1,2.651099920E0,2.466399908E0
3.339892134E0,1.311399937E0,2.294100046E0,3.076099873E0
3.349892134E0,1.120599985E0,1.808699965E0,2.997499943E0
3.359892134E0,6.025999784E-1,1.180999994E0,2.721400023E0
3.369892134E0,2.539999969E-2,4.804999828E-1,2.331099987E0
3.379892134E0,-1.525000036E-1,-1.613999903E-1,2.116999865E0
3.389892134E0,3.709999844E-2,-7.027999759E-1,2.207700014E0
3.399892134E0,1.785999984E-1,-1.151199937E0,2.478299856E0
3.409892134E0,-1.130999997E-1,-1.683399916E0,2.675499916E0
3.419892134E0,-4.141999781E-1,-2.116699934E0,2.524699926E0
3.429892134E0,-6.487999558E-1,-2.480200052E0,2.467900038E0
3.439895259E0,-5.164999962E-1,-2.577100039E0,2.426800013E0
3.449892134E0,-4.176999927E-1,-2.513099909E0,2.077699900E0
3.459892134E0,-3.470000029E-1,-2.414499998E0,1.449499965E0
3.469892134E0,-2.404999882E-1,-2.191799879E0,8.352999687E-1
3.479892134E0,-8.489999920E-2,-1.872200012E0,2.434999943E-1
3.489892134E0,4.171999991E-1,-1.668599963E0,-6.802999973E-1
3.499892134E0,5.812999606E-1,-1.469900012E0,-1.291000009E0
3.509892134E0,5.647999644E-1,-1.351999998E0,-1.717899919E0
3.519892134E0,3.419999778E-1,-1.369099975E0,-2.031599998E0
3.529892134E0,1.032999977E-1,-1.528199911E0,-2.233299971E0
3.539892134E0,-4.270000011E-2,-1.737999916E0,-2.363999844E0
3.549892134E0,-1.066999957E-1,-1.906799912E0,-2.405699968E0
3.559892134E0,-4.849999771E-2,-2.049599886E0,-2.527299881E0
3.569892134E0,4.739999771E-2,-2.113399982E0,-2.710500002E0
3.579892134E0,1.342999935E-1,-2.213199854E0,-2.906399965E0
3.589892134E0,2.228000015E-1,-2.113199949E0,-2.898399830E0
3.599892134E0,2.732999921E-1,-1.952999949E0,-2.880100012E0
3.609892134E0,3.928999901E-1,-1.706299901E0,-2.985800028E0
3.619892134E0,5.634999871E-1,-1.370299935E0,-3.045599937E0
3.629892134E0,7.796999812E-1,-9.600999951E-1,-3.096099854E0
3.639892134E0,8.527999520E-1,-4.908999801E-1,-3.027199984E0
3.649892134E0,1.078299999E0,-3.439999744E-2,-3.180699825E0
3.659892134E0,1.084599972E0,3.105999827E-1,-3.163499832E0
3.669892134E0,1.149399996E0,3.594999909E-1,-3.300499916E0
3.679892134E0,8.700000048E-1,1.589999907E-2,-3.465699911E0
3.689892134E0,4.872999787E-1,-1.922999918E-1,-3.209499836E0
3.699892134E0,2.349999920E-2,-2.081999928E-1,-2.433899879E0
3.709892134E0,-3.847000003E-1,-5.359999835E-2,-1.411199927E0
3.719892134E0,-7.569999695E-1,7.799999788E-3,-7.328999639E-1
3.729892134E0,-9.059999585E-1,-1.247999966E-1,-3.753999770E-1
3.739892134E0,-8.077999949E-1,-3.531999886E-1,-5.451999903E-1
3.749892134E0,-4.159999788E-1,-3.940999806E-1,-5.200999975E-1
3.759892134E0,-1.609999985E-1,-3.736999929E-1,-1.537999958E-1
3.769892134E0,-1.551000029E-1,-4.899999797E-1,6.513000131E-1
3.779892134E0,-3.783999979E-1,-8.558999896E-1,1.385200024E0
3.789892134E0,-5.514999628E-1,-1.154899955E0,1.949099898E0
3.799892134E0,-4.811999798E-1,-1.059199929E0,2.371500015E0
